fusha,vlera,shpjegim
Kodi i rastit,LS-0509-K7M2P,Kopjoni nga Heart (p.sh. LS-0509-K7M2P). Shërben si kontroll që analiza shkon te pacienti i duhur.
Diagnoza,"Akne vulgaris, formë inflamatore-komedonale",Një rresht. Kjo është fjalia që i jep peshë gjithë faqes.
Shkalla,e moderuar,E DOMOSDOSHME. e lehtë / e moderuar / e rëndë
Vlerësimi IGA,3,"0 deri 4. Nëse lihet bosh, merret nga shkalla."
Tipi i lëkurës,"e përzier, e yndyrshme në zonën T",e yndyrshme / e thatë / e përzier / normale / e ndjeshme
Zonat e analizuara,"balli, hunda, faqet, mjekra, nofulla",Cilat pjesë të fytyrës u panë në foto.
Përfundimi për pacientin,Lëkura juaj është e yndyrshme në zonën T dhe me pore të zgjeruara. Në mjekër shoh inflamacion aktiv. Kjo trajtohet.,E DOMOSDOSHME. Teksti që lexon pacienti. Mund të jetë disa fjali.
Lezione inflamatore aktive,rreth 10-15 të dukshme,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Pustula,të pakta / jo të sigurta,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Komedone (pore të bllokuara),të pranishme në disa zona,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Skuqje pas-inflamatore (PIE),e moderuar,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Njolla të errëta (PIH),i lehtë deri i moderuar,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Teksturë / shenja atrofike,të lehta,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Noduse / cista të thella,nuk dallohen qartë,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Tharje / skuamëzim,minimal në foto,"Fjalë ose numër: p.sh. e moderuar, të pakta, rreth 10-15, nuk dallohen."
Pa trajtim,Inflamacioni aktiv lë njolla të errëta që zbehen me muaj — disa nuk zbehen fare.,Çfarë ndodh nëse nuk trajtohet. Bosh = merret teksti standard sipas shkallës.
Kur duhet mjek shpejt,"Nëse shfaqen noduse të thella e të dhimbshme, cikatrice të reja, ënjtje e madhe ose temperaturë.",Shenjat që kërkojnë vizitë pa vonesë. Shfaqet si shënim që hapet me prekje.
Produktet,"lifeskin-akne; lifeskin-serum","E DOMOSDOSHME. Kodet e produkteve, ndarë me pikëpresje."
Përdorimi — produkti 1,"Në mëngjes dhe në mbrëmje, para kremit.",Fjalia që qëndron nën produktin e parë.
Përdorimi — produkti 2,"Vetëm në mbrëmje, një shtresë e hollë.",Fjalia që qëndron nën produktin e dytë.
Çmimi i setit (€),53,Bosh = çmimi standard.
Java 1,Lëkura pastrohet. Skuqja fillon të ulet.,Bosh = teksti standard.
Java 2,Puqrrat e reja bëhen më të rralla. Ende pak për t'u parë.,Bosh = teksti standard.
Java 3,Njollat fillojnë të zbehen. Lëkura bëhet e njëtrajtshme.,Bosh = teksti standard.
Java 4,Foto e re. Dr. Gashi krahason me ditën e parë.,Bosh = teksti standard.
Këshillë shtesë,"Përdorni krem me mbrojtje nga dielli çdo mëngjes — pa të, njollat qëndrojnë muaj më gjatë.","Një fjali, p.sh. për mbrojtjen nga dielli."
